Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
113,36.0138,36.0138,,,36.0138,,,36.0138,,
114,36.0549,36.0549,,,36.0549,,,36.0549,,
115,36.0853,36.0853,,,36.0853,,,36.0853,,
116,36.1647,36.1647,,,36.1647,,,36.1647,,
117,36.1537,36.1537,,,36.1537,,,36.1537,,
118,36.2337,36.2337,,,36.2337,,,36.2337,,
119,36.2335,36.2335,,,36.2335,,,36.2335,,
120,36.2664,36.2664,,,36.2664,,,36.2664,,
121,36.2724,36.2724,,,36.2724,,,36.2724,,
122,36.2695,36.2695,,,36.2695,,,36.2695,,
123,36.3133,36.3133,,,36.3133,,,36.3133,,
124,36.3628,36.3628,,,36.3628,,,36.3628,,
125,36.4442,36.4442,,,36.4442,,,36.4442,,
126,36.4695,36.4695,,,36.4695,,,36.4695,,
127,36.502,36.502,,,36.502,,,36.502,,
128,36.5198,36.5198,,,36.5198,,,36.5198,,
129,36.5262,36.5262,,,36.5262,,,36.5262,,
130,36.4596,36.4596,,,36.4596,,,36.4596,,
131,36.4551,36.4551,,,36.4551,,,36.4551,,
132,36.476,36.476,,,36.476,,,36.476,,
133,36.4589,36.4589,,,36.4589,,,36.4589,,
134,36.3591,36.3591,,,36.3591,,,36.3591,,
135,36.3194,36.3194,,,36.3194,,,36.3194,,
136,36.3669,36.3669,,,36.3669,,,36.3669,,
137,36.2157,36.2157,,,36.2157,,,36.2157,,
138,36.1796,36.1796,,,36.1796,,,36.1796,,
139,36.1561,36.1561,,,36.1561,,,36.1561,,
140,36.1807,36.1807,,,36.1807,,,36.1807,,
141,36.1472,36.1472,,,36.1472,,,36.1472,,
142,36.1271,36.1271,,,36.1271,,,36.1271,,
143,36.1083,36.1083,,,36.1083,,,36.1083,,
144,36.1587,36.1587,,,36.1587,,,36.1587,,
145,36.1898,36.1898,,,36.1898,,,36.1898,,
146,36.0977,36.0977,,,36.0977,,,36.0977,,
147,36.1285,36.1285,,,36.1285,,,36.1285,,
148,36.1447,36.1447,,,36.1447,,,36.1447,,
149,36.1954,36.1954,,,36.1954,,,36.1954,,
150,36.2466,36.2466,,,36.2466,,,36.2466,,
151,36.3446,36.3446,,,36.3446,,,36.3446,,
